pagePath,pageTitle,landingPagePath,exitPagePath,pageDepth,pageviews,uniquePageviews,timeOnPage
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,1,750,750,0
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,10,8,2,1348
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,11,8,3,95
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,12,5,1,1477
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,13,13,3,98
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,14,2,1,3
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,15,2,1,18
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,16,2,1,43
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,2,82,41,10077
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,22,11,1,436
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,3,175,83,8144
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,30,11,1,1035
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,36,2,1,18
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,4,39,15,3073
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,5,80,32,1221
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,6,15,5,1101
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,7,60,19,1326
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,8,11,4,445
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/,9,19,5,1673
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/?elementor-preview=15&ver=1585034710,63,5,1,185
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/?elementor-preview=15&ver=1586267988,24,2,1,102
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/?s=neu,12,1,1,5
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-data-analysis/,2,2,2,94
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-data-analysis/,39,10,1,1764
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-data-analysis/,5,2,2,1459
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-data-analysis/,7,3,1,682
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-data-analysis/?elementor-preview=26451&ver=1585137329,6,1,1,172
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-data-analysis/?elementor-preview=26451&ver=1585651460,3,1,1,421
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-data-analysis/?preview_id=26451&preview_nonce=225c3b8b7b&preview=true,22,2,1,1269
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-managing-software-development-teams/,5,1,1,5
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-managing-software-development-teams/?elementor-preview=26878&ver=1586443594,14,3,1,994
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/2020-new-managing-software-development-teams/?elementor-preview=26878&ver=1586517922,14,4,1,123
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/,2,14,14,576
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/,3,9,7,1962
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/,4,2,1,18
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/,5,5,4,1233
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/,6,1,1,6
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/,9,2,1,48
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/become-a-data-instructor/,13,2,1,14
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/become-a-data-instructor/,3,1,1,9
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/become-a-data-instructor/,4,1,1,10
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/become-a-data-instructor/,9,1,1,29
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/become-a-ta-data/,4,1,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/become-an-instructor/,4,1,1,39
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/become-an-instructor/,5,1,1,9
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/join-us/,2,3,3,50
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/join-us/,3,1,1,21
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/join-us/,4,1,1,3
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/join-us/,5,1,1,2
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/join-us/partner-account-manager-smes/,3,4,4,27
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,14,1,1,9
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,15,5,1,66
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,2,34,34,368
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,3,8,7,154
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,4,10,5,2000
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,5,3,3,120
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,6,5,3,165
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,8,4,2,408
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",/,/about-us/our-team/,9,1,1,13
