landingPagePath,exitPagePath,pageviews
(not set),(not set),0
/,/,16
/,/?elementor-preview=15&ver=1585034710,4
/,/2020-new-managing-software-development-teams/?elementor-preview=26878&ver=1586517922,4
/,/about-us/our-team/,2
/,/blog/,2
/,/blog/7-reasons-to-study-data-analysis-at-codeclan/,2
/,/blog/glasgow-coding-bootcamp-career/,1
/,/blog/linda-scott-codeclan-cmo/,1
/,/blog/most-asked-questions/,1
/,/coronavirus/,1
/,/courses/,1
/,/courses/agile-for-effective-teams/,1
/,/courses/data-analysis/,4
/,/courses/data-analysis/?elementor-preview=26451&ver=1586433257,3
/,/courses/data-analysis/apply/,1
/,/courses/data-analysis/case-study/,1
/,/courses/data-analysis/cost-and-funding/,1
/,/courses/edaid-apply/,4
/,/courses/full-stack-web-development/?elementor-preview=16920&ver=1584610704,1
/,/courses/professional-software-development/,6
/,/courses/professional-software-development/apply/,3
/,/courses/professional-software-development/cost-and-funding/,2
/,/courses/professional-software-development/student-projects/,1
/,/courses/professional-software-development/thank-you-syllabus-download/,3
/,/courses/python-for-developers/,1
/,/courses/understanding-software-development/,3
/,/digital-careers/,1
/,/edinburgh/,1
/,/enquire/,1
/,/for-employers/,1
/,/for-employers/become-a-partner/,1
/,/for-employers/hire-with-codeclan/,1
/,/glasgow/,1
/,/the-codeclan-experience/a-typical-day/,1
/,/the-codeclan-experience/the-alumni/,1
/,/webinars/,79
/,/webinars/?elementor-preview=19875&ver=1584970506,2
/,/webinars/?elementor-preview=19875&ver=1585118085,2
/,/webinars/?elementor-preview=19875&ver=1585562676,2
/,/webinars/?elementor-preview=19875&ver=1585647757,2
/,/wp-content/uploads/2020/03/DIGITAL-PSD-Info-Booklet-March-2020.pdff,2
/2020-new-data-analysis/,/,2
/2020-new-data-analysis/,/2020-new-data-analysis/,3
/2020-new-data-analysis/,/2020-new-managing-software-development-teams/?elementor-preview=26878&ver=1586431717,2
/2020-new-data-analysis/,/webinars/,1
/2020-new-data-analysis/,/webinars/?elementor-preview=19875&ver=1586252676,2
/2020-new-data-analysis/?preview_id=26451&preview_nonce=ce58be89ae&preview=true,/webinars/?preview_id=19875&preview_nonce=55f2ba9986&preview=true,3
/2020-new-short-course/,/,3
/about-us/,/webinars/,4
/about-us/our-team/,/webinars/,2
/blog/data-analysis-course-glasgow-launch/,/blog/7-reasons-to-study-data-analysis-at-codeclan/,1
/blog/meet-the-team-katie-jeffree/,/webinars/,1
/blog/meet-the-team-niall-morris/,/webinars/,1
/blog/page/2/,/blog/meet-the-team-katie-jeffree/,1
/campuses/,/,1
/coronavirus/,/2020-new-data-analysis/,1
/coronavirus/,/coronavirus/,1
/coronavirus/,/for-employers/client-xperience/,1
/coronavirus/,/webinars/,2
/coronavirus/?ct=t(Webinar+update_COPY_01)&mc_cid=2c858a035b&mc_eid=[UNIQID],/webinars/,1
/coronavirus/?ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],/courses/short-courses/,1
/coronavirus/?ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],/webinars/,1
/courses/,/blog/,1
/courses/,/courses/,1
/courses/,/courses/professional-software-development/,2
/courses/,/the-codeclan-experience/a-typical-day/,1
/courses/,/webinars/,4
/courses/data-analysis/,/blog/top-data-podcasts/,1
/courses/data-analysis/,/courses/data-analysis/,2
/courses/data-analysis/,/courses/professional-software-development/cost-and-funding/,1
/courses/data-analysis/,/courses/professional-software-development/curriculum/,0
/courses/data-analysis/,/courses/short-courses/,1
/courses/data-analysis/,/webinars/,2
/courses/data-analysis/apply/,/2020-new-managing-software-development-teams/?elementor-preview=26878&ver=1586355117,3
/courses/professional-software-development/,/,1
/courses/professional-software-development/,/coronavirus/,1
/courses/professional-software-development/,/courses/edaid-apply/,1
/courses/professional-software-development/,/courses/professional-software-development/,0
/courses/professional-software-development/,/the-codeclan-experience/the-alumni/,1
/courses/professional-software-development/,/webinars/,3
/courses/professional-software-development/?ct=t(Virtual+Learning+Experience+Update)&mc_cid=345c4ed3c2&mc_eid=[UNIQID],/courses/professional-software-development/?ct=t(Virtual+Learning+Experience+Update)&mc_cid=345c4ed3c2&mc_eid=[UNIQID],2
/courses/professional-software-development/?ct=t(Virtual+Learning+Experience+Update)&mc_cid=345c4ed3c2&mc_eid=[UNIQID],/webinars/,1
/courses/professional-software-development/?ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],/webinars/,1
/courses/professional-software-development/cost-and-funding/,/coronavirus/,1
/courses/professional-software-development/cost-and-funding/,/webinars/,3
/courses/programming-with-r/,/courses/data-analysis/application-process/,1
/courses/python-for-developers/,/,2
/data-analysis-announcement/,/courses/data-analysis/cost-and-funding/,1
/data-analysis-announcement/?ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],/webinars/,1
/edinburgh/,/events/partner-events/,1
/Edinburgh/,/courses/data-analysis/,1
/Edinburgh/,/Edinburgh/,1
/Edinburgh/,/webinars/,2
/events/,/webinars/,2
/events/partner-events/,/events/partner-events/,0
/for-employers/graduates-for-hire/,/,6
/glasgow/,/courses/data-analysis/,1
/glasgow/,/courses/data-analysis/cost-and-funding/,1
/glasgow/,/courses/professional-software-development/apply/,1
/glasgow/,/glasgow/,1
/Glasgow/,/courses/professional-software-development/,1
/the-codeclan-experience/a-typical-day/,/courses/professional-software-development/apply/,2
/webinars/,/,5
/webinars/,/blog/stress-awareness-month/,3
/webinars/,/courses/,5
/webinars/,/courses/agile-for-effective-teams/,2
/webinars/,/courses/data-analysis/,2
/webinars/,/courses/data-analysis/apply/,1
/webinars/,/courses/professional-software-development/,2
/webinars/,/courses/professional-software-development/?elementor-preview=23&ver=1585581580,1
/webinars/,/courses/professional-software-development/cost-and-funding/,1
/webinars/,/courses/understanding-software-development/,6
/webinars/,/courses/ux-design-fundamentals/,1
/webinars/,/edinburgh/,1
/webinars/,/the-codeclan-experience/the-alumni/,1
/webinars/,/webinars/,160
/webinars/,/webinars/?elementor-preview=19875&ver=1585578158,4
/webinars/?elementor-preview=19875&ver=1584633159,/webinars/?elementor-preview=19875&ver=1584633159,1
/webinars/?fbclid=IwAR0DVoAHsDKhn1COx3wbeId2RmyGGwkN6YeEVqGCgzq9SXCFDqyEYFyeEes,/,1
/webinars/?fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,/webinars/?fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,1
/webinars/?fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,/webinars/?fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,1
/webinars/?fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,/webinars/?fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,1
/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,1
/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,3
/webinars/?fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,/webinars/?fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,1
/webinars/?fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,/webinars/?fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,1
/webinars/?fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,/webinars/?fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,1
/webinars/?fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,/webinars/?fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,1
/wp-content/uploads/2020/03/DIGITAL-PSD-Info-Booklet-March-2020.pdff,/courses/professional-software-development/cost-and-funding/,1
