page_title,page_path,date,day_of_week_name,url,after_?,pageviews,unique_pageviews
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/coronavirus/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/courses/professional-software-development/,ct=t(Virtual+Learning+Experience+Update)&mc_cid=345c4ed3c2&mc_eid=[UNIQID],3,2
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/,NA,6,4
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/courses/professional-software-development/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/for-employers/graduates-for-hire/,NA,5,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/webinars/,NA,13,12
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/,NA,2,2
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/about-us/our-team/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/coronavirus/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/professional-software-development/,ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/Edinburgh/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/webinars/,NA,5,4
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/,NA,4,4
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/courses/professional-software-development/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/glasgow/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/,NA,2,2
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/coronavirus/,ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],2,2
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/courses/,NA,2,2
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/webinars/,NA,2,2
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/,NA,8,8
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/coronavirus/,ct=t(Webinar+update_COPY_01)&mc_cid=2c858a035b&mc_eid=[UNIQID],1,1
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/courses/data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/data-analysis-announcement/,ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],1,1
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/webinars/,NA,3,3
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/,NA,20,16
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/edinburgh/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/webinars/,NA,4,4
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/,NA,5,5
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/campuses/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/courses/data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/Edinburgh/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/glasgow/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/webinars/,NA,14,8
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/,NA,14,12
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/coronavirus/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/courses/data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/events/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/webinars/,NA,17,9
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/wp-content/uploads/2020/03/DIGITAL-PSD-Info-Booklet-March-2020.pdff,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-27,Friday,/,NA,3,3
Webinars - CodeClan,/webinars/,2020-03-27,Friday,/webinars/,NA,5,5
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/,NA,2,2
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/courses/professional-software-development/cost-and-funding/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/webinars/,NA,3,2
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/,NA,5,5
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/coronavirus/,NA,1,1
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/webinars/,NA,4,3
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/,NA,5,5
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/about-us/our-team/,NA,1,1
