pageTitle,pagePath,date,dayOfWeekName,previousPagePath,pageviews,uniquePageviews
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,(entrance),1,1
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/about-us/,1,1
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/coronavirus/,2,1
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/courses/professional-software-development/?ct=t(Virtual+Learning+Experience+Update)&mc_cid=345c4ed3c2&mc_eid=[UNIQID],1,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,(entrance),12,12
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/,6,4
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/courses/data-analysis/cost-and-funding/,1,0
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/courses/professional-software-development/,2,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/courses/professional-software-development/?elementor-preview=23&ver=1584633212,1,0
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/courses/understanding-software-development/,1,0
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/webinars/,1,0
Webinars - CodeClan,/webinars/,2020-03-20,Friday,(entrance),4,4
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/,2,2
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/professional-software-development/?ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/the-codeclan-experience/,1,0
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,(entrance),1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/,2,2
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,(entrance),2,2
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/,1,1
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/coronavirus/?ct=t(Webinar+update)&mc_cid=fbf9a00785&mc_eid=[UNIQID],1,1
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/glasgow/,2,2
Webinars - CodeClan,/webinars/,2020-03-23,Monday,(entrance),3,3
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/,5,5
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/coronavirus/,2,2
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/coronavirus/?ct=t(Webinar+update_COPY_01)&mc_cid=2c858a035b&mc_eid=[UNIQID],1,1
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/courses/data-analysis/,2,2
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,(entrance),4,4
