medium,sourceMedium,pageviews
(none),(direct) / (none),106
cpc,google / cpc,53
email,Alumni Dec 2019 / email,1
email,CodeClan Employer Partners 2018 / email,31
email,CodeClan Staff newsletter / email,1
email,Website Subscribers / email,30
organic,bing / organic,5
organic,duckduckgo / organic,1
organic,ecosia.org / organic,1
organic,google / organic,101
referral,analytics.google.com / referral,13
referral,businessevents.visitscotland.com / referral,1
referral,digitalworld.net / referral,1
referral,eventbrite.co.uk / referral,3
referral,facebook.com / referral,9
referral,forms.zohopublic.eu / referral,1
referral,gstatic.com / referral,5
referral,holamundopodcast.com / referral,2
referral,l.facebook.com / referral,1
referral,l.instagram.com / referral,3
referral,linkedin.com / referral,27
referral,lm.facebook.com / referral,2
referral,m.facebook.com / referral,21
referral,readymag.com / referral,1
referral,t.co / referral,19
referral,us11.admin.mailchimp.com / referral,32
