page_url,page_title,date,pageviews,unique_pageviews
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-15,119,91
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-16,121,95
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-17,135,110
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-18,140,117
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-19,110,82
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-20,124,102
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-21,57,45
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-22,68,60
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-23,108,88
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-24,138,107
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-25,108,86
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-26,133,103
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-27,104,85
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-28,51,41
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-29,57,47
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-30,154,109
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-31,145,108
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-01,133,100
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,144,111
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-03,118,79
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-04,75,59
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-05,73,52
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-06,119,92
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,158,107
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-08,187,126
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-09,132,97
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-10,96,78
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-11,55,43
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-12,60,47
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-13,134,103
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-14,175,129
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-15,96,87
/ vacancies,Page not found - CodeClan,2020-03-20,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-24,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-31,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-03,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-03,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-06,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-08,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-09,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-09,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-09,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-13,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-06,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-10,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-29,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-11,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-08,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-20,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-01,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-16,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-18,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-20,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-05,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-03,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-10,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-04,2,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-25,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-27,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-17,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-15,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-26,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-05,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-13,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-17,5,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-27,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-05,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-06,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-23,1,1
