page_title,page_path,date,day_of_week_name,landing_page_url,pageviews,unique_pageviews
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/courses/professional-software-development/,3,2
Webinars - CodeClan,/webinars/,2020-03-18,Wednesday,/webinars/,1,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/,6,4
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/for-employers/graduates-for-hire/,5,1
Webinars - CodeClan,/webinars/,2020-03-19,Thursday,/webinars/,13,12
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/,2,2
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/about-us/our-team/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-20,Friday,/webinars/,5,4
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/,4,4
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-03-21,Saturday,/webinars/,1,1
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/,2,2
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/coronavirus/,2,2
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/courses/,2,2
Webinars - CodeClan,/webinars/,2020-03-22,Sunday,/webinars/,2,2
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/,8,8
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/data-analysis-announcement/,1,1
Webinars - CodeClan,/webinars/,2020-03-23,Monday,/webinars/,3,3
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/,20,16
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-24,Tuesday,/webinars/,4,4
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/,5,5
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/campuses/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-03-25,Wednesday,/webinars/,14,8
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/,14,12
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/events/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/webinars/,17,9
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/wp-content/uploads/2020/03/DIGITAL-PSD-Info-Booklet-March-2020.pdff,1,1
Webinars - CodeClan,/webinars/,2020-03-27,Friday,/,3,3
Webinars - CodeClan,/webinars/,2020-03-27,Friday,/webinars/,5,5
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/,2,2
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/courses/professional-software-development/cost-and-funding/,1,1
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/webinars/,3,2
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/,5,5
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/webinars/,4,3
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/,5,5
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/about-us/our-team/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/blog/data-analysis-course-glasgow-launch/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/python-for-developers/,2,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/data-analysis-announcement/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/webinars/,9,8
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/,18,14
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/webinars/,19,19
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/,7,7
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/,2,2
