page_path,date,day_of_week_name,source_medium,source,medium,social_network,has_social_source_referral,pageviews,unique_pageviews
/webinars/,2020-03-18,Wednesday,Alumni Dec 2019 / email,Alumni Dec 2019,email,(not set),No,1,1
/webinars/,2020-03-18,Wednesday,Website Subscribers / email,Website Subscribers,email,(not set),No,4,3
/webinars/,2020-03-19,Thursday,(direct) / (none),(direct),(none),(not set),No,10,7
/webinars/,2020-03-19,Thursday,businessevents.visitscotland.com / referral,businessevents.visitscotland.com,referral,(not set),No,1,1
/webinars/,2020-03-19,Thursday,google / organic,google,organic,(not set),No,1,1
/webinars/,2020-03-19,Thursday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,3,3
/webinars/,2020-03-19,Thursday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,4,4
/webinars/,2020-03-19,Thursday,Website Subscribers / email,Website Subscribers,email,(not set),No,6,2
/webinars/,2020-03-20,Friday,(direct) / (none),(direct),(none),(not set),No,4,3
/webinars/,2020-03-20,Friday,google / cpc,google,cpc,(not set),No,1,1
/webinars/,2020-03-20,Friday,google / organic,google,organic,(not set),No,3,3
/webinars/,2020-03-20,Friday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,1,1
/webinars/,2020-03-20,Friday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/,2020-03-20,Friday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-03-20,Friday,Website Subscribers / email,Website Subscribers,email,(not set),No,1,1
/webinars/,2020-03-21,Saturday,google / cpc,google,cpc,(not set),No,2,2
/webinars/,2020-03-21,Saturday,google / organic,google,organic,(not set),No,3,3
/webinars/,2020-03-21,Saturday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,1,1
/webinars/,2020-03-21,Saturday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-03-22,Sunday,(direct) / (none),(direct),(none),(not set),No,2,2
/webinars/,2020-03-22,Sunday,google / cpc,google,cpc,(not set),No,1,1
/webinars/,2020-03-22,Sunday,google / organic,google,organic,(not set),No,2,2
/webinars/,2020-03-22,Sunday,holamundopodcast.com / referral,holamundopodcast.com,referral,(not set),No,1,1
/webinars/,2020-03-22,Sunday,Website Subscribers / email,Website Subscribers,email,(not set),No,2,2
/webinars/,2020-03-23,Monday,(direct) / (none),(direct),(none),(not set),No,4,4
/webinars/,2020-03-23,Monday,google / cpc,google,cpc,(not set),No,1,1
/webinars/,2020-03-23,Monday,google / organic,google,organic,(not set),No,4,4
/webinars/,2020-03-23,Monday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,1,1
/webinars/,2020-03-23,Monday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-03-23,Monday,Website Subscribers / email,Website Subscribers,email,(not set),No,3,3
/webinars/,2020-03-24,Tuesday,(direct) / (none),(direct),(none),(not set),No,4,4
/webinars/,2020-03-24,Tuesday,bing / organic,bing,organic,(not set),No,1,1
/webinars/,2020-03-24,Tuesday,duckduckgo / organic,duckduckgo,organic,(not set),No,1,1
/webinars/,2020-03-24,Tuesday,google / cpc,google,cpc,(not set),No,1,1
/webinars/,2020-03-24,Tuesday,google / organic,google,organic,(not set),No,11,10
/webinars/,2020-03-24,Tuesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,4,1
/webinars/,2020-03-24,Tuesday,Website Subscribers / email,Website Subscribers,email,(not set),No,3,3
/webinars/,2020-03-25,Wednesday,(direct) / (none),(direct),(none),(not set),No,11,5
/webinars/,2020-03-25,Wednesday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,1,1
/webinars/,2020-03-25,Wednesday,eventbrite.co.uk / referral,eventbrite.co.uk,referral,(not set),No,1,1
/webinars/,2020-03-25,Wednesday,google / cpc,google,cpc,(not set),No,2,2
/webinars/,2020-03-25,Wednesday,google / organic,google,organic,(not set),No,3,3
/webinars/,2020-03-25,Wednesday,gstatic.com / referral,gstatic.com,referral,(not set),No,1,1
/webinars/,2020-03-25,Wednesday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,2,2
/webinars/,2020-03-25,Wednesday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/,2020-03-25,Wednesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-03-26,Thursday,(direct) / (none),(direct),(none),(not set),No,19,12
/webinars/,2020-03-26,Thursday,google / cpc,google,cpc,(not set),No,7,5
/webinars/,2020-03-26,Thursday,google / organic,google,organic,(not set),No,5,5
/webinars/,2020-03-26,Thursday,gstatic.com / referral,gstatic.com,referral,(not set),No,1,1
/webinars/,2020-03-26,Thursday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,3,2
/webinars/,2020-03-27,Friday,(direct) / (none),(direct),(none),(not set),No,2,2
/webinars/,2020-03-27,Friday,google / organic,google,organic,(not set),No,1,1
/webinars/,2020-03-27,Friday,holamundopodcast.com / referral,holamundopodcast.com,referral,(not set),No,1,1
/webinars/,2020-03-27,Friday,l.instagram.com / referral,l.instagram.com,referral,Instagram,Yes,2,2
/webinars/,2020-03-27,Friday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,2,2
/webinars/,2020-03-28,Saturday,(direct) / (none),(direct),(none),(not set),No,1,1
/webinars/,2020-03-28,Saturday,google / organic,google,organic,(not set),No,3,3
/webinars/,2020-03-28,Saturday,t.co / referral,t.co,referral,Twitter,Yes,2,1
/webinars/,2020-03-29,Sunday,(direct) / (none),(direct),(none),(not set),No,4,4
/webinars/,2020-03-29,Sunday,google / cpc,google,cpc,(not set),No,3,3
/webinars/,2020-03-29,Sunday,google / organic,google,organic,(not set),No,2,1
/webinars/,2020-03-29,Sunday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/,2020-03-30,Monday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,5,3
/webinars/,2020-03-30,Monday,google / cpc,google,cpc,(not set),No,2,2
/webinars/,2020-03-30,Monday,google / organic,google,organic,(not set),No,5,5
/webinars/,2020-03-30,Monday,l.instagram.com / referral,l.instagram.com,referral,Instagram,Yes,1,1
/webinars/,2020-03-30,Monday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,1,1
/webinars/,2020-03-30,Monday,t.co / referral,t.co,referral,Twitter,Yes,2,2
